Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Boulettes de viande à la Sicilienne,46.0,huile d'olive,2.0,0.304,74.0,18.0,0.0,1.998,0.0,0.0,0.0
Boulettes de viande à la Sicilienne,46.0,menthe,2.0,0.0044,4.8,1.152,0.106,0.0168,0.0704,0.0015199999999999,0.106
Boulettes de viande à la Sicilienne,46.0,oeuf,41.25,1.233375,237.1875,56.925,0.292875,3.9063750000000006,5.15625,0.0825,0.1526249999999999
Boulettes de viande à la Sicilienne,46.0,oignon,25.0,0.0,42.25,10.05,1.6825,0.0,0.39,0.0,1.25
Boulettes de viande à la Sicilienne,46.0,pecorino,50.0,9.15,,,0.0,14.4,,2.365,0.0
Boulettes de viande à la Sicilienne,46.0,persil,2.0,0.002,3.6,0.86,0.0696,0.0126,0.0742,0.0118,0.019
Boulettes de viande à la Sicilienne,46.0,poivre,2.0,0.0579999999999999,27.6,6.6,0.79,0.15,0.266,0.0007199999999999,0.0128
Boulettes de viande à la Sicilienne,46.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Boulettes de viande à la coriandre et sauce tomate,10.0,ail,2.5,0.005,36.5,8.6,1.57,0.01925,0.4175,0.00275,0.06075
Boulettes de viande à la coriandre et sauce tomate,10.0,chair a saucisse,62.5,,837.5,201.875,0.375,18.1875,9.1875,0.86875,
Boulettes de viande à la coriandre et sauce tomate,10.0,concentre de tomate,62.5,0.058125,261.875,62.0,10.6875,0.33125,2.75,0.16875,8.3125
Boulettes de viande à la coriandre et sauce tomate,10.0,coriandre,5.0,0.0007,4.63,1.115,0.0435,0.026,0.1064999999999999,0.006,0.0435
Boulettes de viande à la coriandre et sauce tomate,10.0,cube de bouillon,12.5,0.135,104.0,24.625,3.8625,0.3875,1.35,6.025,0.275
