Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,emmental,1.0,0.19699999999999998,15.5,3.73,0.0,0.28800000000000003,0.273,0.0060999999999999995,0.0
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,herbes de Provence,2.0,0.037599999999999995,23.4,5.66,0.46,0.14400000000000002,0.23,0.0017599999999999998,0.37
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,oeuf,7.333333333333333,0.21926666666666667,42.16666666666666,10.12,0.052066666666666664,0.6944666666666667,0.9166666666666665,0.014666666666666668,0.027133333333333332
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,pain,8.0,0.0296,93.6,22.08,4.352,0.1288,0.7208,0.1024,0.2192
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,persil,2.0,0.002,3.6,0.86,0.0696,0.0126,0.0742,0.0118,0.019
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,petits poi,13.333333333333334,0.006533333333333335,,,1.06,0.036000000000000004,0.6866666666666668,0.024,0.6200000000000001
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,pineau des charente,6.666666666666667,0.8933333333333334,,,1.9866666666666668,1.5533333333333335,0.33333333333333337,0.04066666666666666,0.66
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,poireau,8.0,0.0,9.12,2.1919999999999997,0.1784,0.0,0.2048,0.0,0.14400000000000002
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,pomme de terre,11.666666666666666,0.0030333333333333328,45.5,10.721666666666668,2.345,0.011666666666666667,0.22866666666666663,0.00041999999999999996,0.19833333333333333
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,tomates pelee,16.666666666666668,0.0075,12.816666666666668,3.0500000000000007,0.315,0.046666666666666676,0.17833333333333334,0.046666666666666676,0.3133333333333333
Cannellonis végétariens à la menthe,21.0,basilic,2.0,0.0026,2.9,0.696,0.051,0.009399999999999999,0.067,0.0005600000000000001,0.0074
Cannellonis végétariens à la menthe,21.0,canneloni,2.0,0.0382,10.24,2.44,0.23600000000000002,0.11800000000000001,0.0876,0.012,0.086
Cannellonis végétariens à la menthe,21.0,courgette,133.33333333333334,0.13333333333333336,86.53333333333335,20.66666666666667,1.8666666666666665,0.48,1.2400000000000002,0.13066666666666668,1.8533333333333335
Cannellonis végétariens à la menthe,21.0,huile d'olive,5.0,0.76,185.0,45.0,0.0,4.995,0.0,0.0,0.0
Cannellonis végétariens à la menthe,21.0,menthe,3.3333333333333335,0.007333333333333334,8.0,1.92,0.17666666666666667,0.027999999999999997,0.11733333333333335,0.0025333333333333336,0.17666666666666667
Cannellonis végétariens à la menthe,21.0,mozzarella,2.0,0.23399999999999999,18.86,4.54,0.015,0.354,0.322,0.012,0.013999999999999999
Cannellonis végétariens à la menthe,21.0,oignon,16.666666666666668,0.0,28.16666666666667,6.700000000000001,1.1216666666666668,0.0,0.26,0.0,0.8333333333333335
Cannellonis végétariens à la menthe,21.0,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
Cannellonis végétariens à la menthe,21.0,poivron,100.0,0.19,150.0,35.8,5.33,0.6,1.0,0.0,4.9
Cannellonis végétariens à la menthe,21.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
